""	"x"
"200"	"ENST00000379303"
"201"	"ENST00000379433"
"202"	"ENST00000379449"
"203"	"ENST00000379655"
"204"	"ENST00000379698"
"205"	"ENST00000379997"
"206"	"ENST00000381007"
"207"	"ENST00000381323"
"208"	"ENST00000381365"
"209"	"ENST00000387347"
"210"	"ENST00000389204"
"211"	"ENST00000389680"
"212"	"ENST00000389793"
"213"	"ENST00000392546"
"214"	"ENST00000392621"
"215"	"ENST00000392962"
"216"	"ENST00000393067"
"217"	"ENST00000393295"
"218"	"ENST00000393346"
"219"	"ENST00000393593"
"220"	"ENST00000393609"
"221"	"ENST00000393618"
"222"	"ENST00000393651"
"223"	"ENST00000393847"
"224"	"ENST00000394828"
"225"	"ENST00000395693"
"226"	"ENST00000396077"
"227"	"ENST00000397566"
"228"	"ENST00000398136"
"229"	"ENST00000398146"
"230"	"ENST00000399799"
"231"	"ENST00000401529"
"232"	"ENST00000402314"
"233"	"ENST00000403136"
"234"	"ENST00000405303"
"235"	"ENST00000407142"
"236"	"ENST00000407513"
"237"	"ENST00000409228"
"238"	"ENST00000409815"
"239"	"ENST00000409891"
"240"	"ENST00000409919"
"241"	"ENST00000412585"
"242"	"ENST00000413761"
"243"	"ENST00000414123"
"244"	"ENST00000414379"
"245"	"ENST00000414665"
"246"	"ENST00000415861"
"247"	"ENST00000415914"
"248"	"ENST00000417868"
"249"	"ENST00000417954"
"250"	"ENST00000418721"
"251"	"ENST00000418920"
"252"	"ENST00000419445"
"253"	"ENST00000420107"
"254"	"ENST00000421406"
"255"	"ENST00000423345"
"256"	"ENST00000423513"
"257"	"ENST00000424001"
"258"	"ENST00000424045"
"259"	"ENST00000424952"
"260"	"ENST00000425134"
"261"	"ENST00000425534"
"262"	"ENST00000426524"
"263"	"ENST00000426907"
"264"	"ENST00000427908"
"265"	"ENST00000428289"
"266"	"ENST00000429422"
"267"	"ENST00000432233"
"268"	"ENST00000434568"
"269"	"ENST00000434733"
"270"	"ENST00000435572"
"271"	"ENST00000435602"
"272"	"ENST00000435907"
"273"	"ENST00000436504"
"274"	"ENST00000436665"
"275"	"ENST00000437868"
"276"	"ENST00000438077"
"277"	"ENST00000438325"
"278"	"ENST00000438382"
"279"	"ENST00000438444"
"280"	"ENST00000439871"
"281"	"ENST00000440083"
"282"	"ENST00000440865"
"283"	"ENST00000442435"
"284"	"ENST00000443185"
"285"	"ENST00000444342"
"286"	"ENST00000444587"
"287"	"ENST00000445177"
"288"	"ENST00000445355"
"289"	"ENST00000447012"
"290"	"ENST00000449086"
"291"	"ENST00000449912"
"292"	"ENST00000450142"
"293"	"ENST00000453446"
"294"	"ENST00000453643"
"295"	"ENST00000456101"
"296"	"ENST00000456414"
"297"	"ENST00000457047"
"298"	"ENST00000457119"
"299"	"ENST00000458235"
"300"	"ENST00000459670"
"301"	"ENST00000460191"
"302"	"ENST00000460437"
"303"	"ENST00000461211"
"304"	"ENST00000461237"
"305"	"ENST00000461454"
"306"	"ENST00000461830"
"307"	"ENST00000461893"
"308"	"ENST00000462139"
"309"	"ENST00000462269"
"310"	"ENST00000462315"
"311"	"ENST00000462804"
"312"	"ENST00000463298"
"313"	"ENST00000463419"
"314"	"ENST00000463660"
"315"	"ENST00000463726"
"316"	"ENST00000463828"
"317"	"ENST00000463871"
"318"	"ENST00000464129"
"319"	"ENST00000464132"
"320"	"ENST00000464316"
"321"	"ENST00000464569"
"322"	"ENST00000464726"
"323"	"ENST00000465402"
"324"	"ENST00000465421"
"325"	"ENST00000465814"
"326"	"ENST00000465950"
"327"	"ENST00000466151"
"328"	"ENST00000466796"
"329"	"ENST00000467356"
"330"	"ENST00000467730"
"331"	"ENST00000468107"
"332"	"ENST00000468249"
"333"	"ENST00000468312"
"334"	"ENST00000468964"
"335"	"ENST00000469295"
"336"	"ENST00000469532"
"337"	"ENST00000469653"
"338"	"ENST00000470221"
"339"	"ENST00000471216"
"340"	"ENST00000471247"
"341"	"ENST00000471354"
"342"	"ENST00000471466"
"343"	"ENST00000471593"
"344"	"ENST00000471652"
"345"	"ENST00000471694"
"346"	"ENST00000472045"
"347"	"ENST00000472210"
"348"	"ENST00000472217"
"349"	"ENST00000473037"
"350"	"ENST00000473185"
"351"	"ENST00000473883"
"352"	"ENST00000474172"
"353"	"ENST00000474381"
"354"	"ENST00000474478"
"355"	"ENST00000475226"
"356"	"ENST00000476284"
"357"	"ENST00000476492"
"358"	"ENST00000476634"
"359"	"ENST00000477534"
"360"	"ENST00000477593"
"361"	"ENST00000477720"
"362"	"ENST00000477801"
"363"	"ENST00000477974"
"364"	"ENST00000478404"
"365"	"ENST00000478497"
"366"	"ENST00000478777"
"367"	"ENST00000478886"
"368"	"ENST00000479165"
"369"	"ENST00000479327"
"370"	"ENST00000479481"
"371"	"ENST00000479490"
"372"	"ENST00000479540"
"373"	"ENST00000480340"
"374"	"ENST00000480825"
"375"	"ENST00000481314"
"376"	"ENST00000482693"
"377"	"ENST00000483007"
"378"	"ENST00000483316"
"379"	"ENST00000483335"
"380"	"ENST00000484560"
"381"	"ENST00000485004"
"382"	"ENST00000485071"
"383"	"ENST00000485551"
"384"	"ENST00000485752"
"385"	"ENST00000485841"
"386"	"ENST00000486146"
"387"	"ENST00000486506"
"388"	"ENST00000486828"
"389"	"ENST00000487162"
"390"	"ENST00000487195"
"391"	"ENST00000487698"
"392"	"ENST00000487977"
"393"	"ENST00000488019"
"394"	"ENST00000488033"
"395"	"ENST00000488117"
"396"	"ENST00000488537"
"397"	"ENST00000488910"
"398"	"ENST00000489159"
"399"	"ENST00000489198"
"400"	"ENST00000489551"
"401"	"ENST00000489652"
"402"	"ENST00000489732"
"403"	"ENST00000490553"
"404"	"ENST00000490763"
"405"	"ENST00000491410"
"406"	"ENST00000491449"
"407"	"ENST00000492630"
"408"	"ENST00000492768"
"409"	"ENST00000492845"
"410"	"ENST00000492865"
"411"	"ENST00000493143"
"412"	"ENST00000493217"
"413"	"ENST00000494142"
"414"	"ENST00000494571"
"415"	"ENST00000495196"
"416"	"ENST00000495300"
"417"	"ENST00000495810"
"418"	"ENST00000495813"
"419"	"ENST00000495827"
"420"	"ENST00000495835"
"421"	"ENST00000496299"
"422"	"ENST00000497044"
"423"	"ENST00000497615"
"424"	"ENST00000498007"
"425"	"ENST00000498666"
"426"	"ENST00000498714"
"427"	"ENST00000499810"
"428"	"ENST00000502380"
"429"	"ENST00000503814"
"430"	"ENST00000504448"
"431"	"ENST00000504663"
"432"	"ENST00000504900"
"433"	"ENST00000505896"
"434"	"ENST00000506111"
"435"	"ENST00000506233"
"436"	"ENST00000506368"
"437"	"ENST00000506557"
"438"	"ENST00000506741"
"439"	"ENST00000507700"
"440"	"ENST00000508020"
"441"	"ENST00000508800"
"442"	"ENST00000509549"
"443"	"ENST00000509695"
"444"	"ENST00000510083"
"445"	"ENST00000511119"
"446"	"ENST00000511348"
"447"	"ENST00000513001"
