""	"x"
"474"	4420
"475"	4432
"476"	4486
"477"	4491
"478"	4494
"479"	4497
"480"	4509
"481"	4510
"482"	4516
"483"	4525
"484"	4527
"485"	4538
"486"	4542
"487"	4558
"488"	4560
"489"	4563
"490"	4570
"491"	4635
"492"	4637
"493"	4638
"494"	4641
"495"	4643
"496"	4645
"497"	4650
"498"	4668
"499"	4673
"500"	4678
"501"	4684
"502"	4688
"503"	4699
"504"	4700
"505"	4705
"506"	4714
"507"	4715
"508"	4725
"509"	4734
"510"	4762
"511"	4765
"512"	4766
"513"	4768
"514"	4789
"515"	4816
"516"	4846
"517"	4851
"518"	4854
"519"	4859
"520"	4860
"521"	4863
"522"	4881
"523"	4882
"524"	4884
"525"	4891
"526"	4903
"527"	4905
"528"	4909
"529"	4910
"530"	4917
"531"	4944
"532"	4959
"533"	4987
"534"	4988
"535"	4993
"536"	4999
"537"	5007
"538"	5038
"539"	5048
"540"	5064
"541"	5076
"542"	5080
"543"	5089
"544"	5160
"545"	5162
"546"	5164
"547"	5166
"548"	5173
"549"	5174
"550"	5181
"551"	5184
"552"	5209
"553"	5220
"554"	5223
"555"	5252
"556"	5281
"557"	5291
"558"	5292
"559"	5310
"560"	5311
"561"	5354
"562"	5370
"563"	5374
"564"	5408
"565"	5420
"566"	5429
"567"	5445
"568"	5468
"569"	5469
"570"	5478
"571"	5498
"572"	5506
"573"	5517
"574"	5520
"575"	5524
"576"	5563
"577"	5568
"578"	5573
"579"	5581
"580"	5599
"581"	5603
"582"	5631
"583"	5644
"584"	5652
"585"	5660
"586"	5661
"587"	5664
"588"	5669
"589"	5688
"590"	5699
"591"	5720
"592"	5734
"593"	5735
"594"	5740
"595"	5753
"596"	5762
"597"	5763
"598"	5778
"599"	5787
"600"	5799
"601"	5800
"602"	5810
"603"	5816
"604"	5818
"605"	5819
"606"	5820
"607"	5835
"608"	5848
"609"	5853
"610"	5862
"611"	5871
"612"	5890
"613"	5891
"614"	5893
"615"	5928
"616"	5930
"617"	5941
"618"	5942
"619"	5946
"620"	5947
"621"	5950
"622"	5954
"623"	5955
"624"	5962
